School,Address,Tel,Link
臺中市立啟明學校,　[421]台中市后里區廣福里三豐路三段936號,　04-25562126,　http://www.cmsb.tc.edu.tw/home
臺中市立臺中女子高級中等學校,　[403]臺中市西區自由路一段95號,　04-22205108,　http://www.tcgs.tc.edu.tw
臺中市立臺中第一高級中等學校,　[404]臺中市北區育才街2號,　04-22226081,　http://www.tcfsh.tc.edu.tw/
臺中市立臺中第二高級中等學校,　[40442]臺中市北區英士路109號,　04-22021521,　http://www.tcssh.tc.edu.tw
臺中市立文華高級中等學校,　[407]台中市西屯區寧夏路240號,　04-23124000,　http://www.whsh.tc.edu.tw
財團法人東海大學附屬高級中等學校,　[40704]臺中市西屯區台灣大道四段1727號,　04-23590269#1220~1222,　http://www.hn.thu.edu.tw/
葳格學校財團法人臺中市葳格高級中學,　[406]臺中市北屯區軍福十八路328號,　04-24371728,　http://senior.wagor.tc.edu.tw/
臺中市私立新民高級中學,　[40459]台中市北區健行路111號,　04-22334105,　http://www.shinmin.tc.edu.tw
宜寧學校財團法人臺中市宜寧高級中學,　[407]臺中市西屯區東大路一段555號,　04-24621800,　http://www.inhs.tc.edu.tw
明德學校財團法人臺中市明德高級中學,　[402]台中市南區明德街84號,　04-22877676,　http://203.68.203.3
臺中市私立衛道高級中學,　[406]臺中市北屯區四平路161號,　04-22911187,　http://www.vtsh.tc.edu.tw
臺中市私立曉明女子高級中學,　[40462]臺中市北區中清路一段606號,　04-22921175,　http://www.smgsh.tc.edu.tw
臺中市私立嶺東高級中學,　[408]臺中市南屯區嶺東路2號,　04-23898940,　http://web.lths.tc.edu.tw/bin/home.php
臺中市立忠明高級中學,　[403]台中市西區博館路166號,　04-23224690,　http://www3.cmsh.tc.edu.tw/
臺中市立西苑高級中學,　[407010]台中市西屯區西苑路268號,　04-27016473,　http://www.sysh.tc.edu.tw
臺中市立東山高級中學,　[406]台中市北屯區景賢六路200號,　04-24360166,　http://www.tsjh.tc.edu.tw
臺中市立惠文高級中學,　[408]臺中市公益路二段298號,　04-22503928,　http://www.hwsh.tc.edu.tw
臺中市立大甲高級中等學校,　[437]台中市大甲區中山路一段720號,　04-26877165,　http://www.djsh.tc.edu.tw/
臺中市立清水高級中等學校,　[43653]臺中市清水區中山路90號,　04-26222116,　http://www.cshs.tc.edu.tw
臺中市立豐原高級中等學校,　[420]台中市豐原區水源路150號,　04-25290381,　http://www.fysh.tc.edu.tw/
國立中興大學附屬高級中學 (原國立大里高中),　[412]臺中市大里區東榮路369號,　04-24875199,　http://www.dali.tc.edu.tw/
